2109952,greenke01,Kent,Greenfield,R,24,1926,13,12,39,28,1,206,98,938,17,82,74,0,3,5,0,111,222.6666718,SP
4852978,daniebe02,Bennie,Daniels,R,32,1964,8,10,33,24,0,147,67,679,20,64,73,8,4,0,0,75,163,SP
3525306,wehmehe01,Herm,Wehmeier,R,29,1956,12,9,34,19,1,150,70,715,16,71,68,8,2,1,0,80,170.6666718,SP
4088468,zuverge01,George,Zuverink,R,30,1954,9,13,35,25,4,201,81,869,22,62,70,0,1,8,0,93,203,SP
2556490,youngan01,Anthony,Young,R,28,1994,4,6,20,19,0,103,50,474,12,46,65,2,4,0,1,57,114.6666641,SP
2549420,whitewa02,Wally,Whitehurst,R,29,1993,4,7,21,19,0,109,45,441,11,30,57,5,5,3,1,47,105.6666641,SP
2119024,violafr01,Frank,Viola,L,25,1985,18,14,36,36,0,262,114,1059,26,68,135,3,6,2,2,136,250.6666718,SP
2548754,russeje01,Jeff,Russell,R,27,1988,10,9,34,24,0,183,80,793,15,66,88,3,5,7,7,86,188.6666718,SP
2554524,boltoto01,Tom,Bolton,L,28,1990,10,5,21,16,0,111,45,501,6,47,65,3,1,3,1,46,119.6666641,SP
3522064,newhoha01,Hal,Newhouser,L,26,1947,17,17,40,36,2,268,91,1216,9,110,176,0,11,2,0,105,285,SP
1641658,keougma02,Matt,Keough,R,23,1978,8,15,32,32,0,178,71,837,9,85,108,2,12,4,3,90,197.3333282,SP
3532010,carych01,Chuck,Cary,L,30,1990,6,12,28,27,0,155,73,661,21,55,134,1,11,1,2,77,156.6666718,SP
2126056,erickpa01,Paul,Erickson,R,26,1941,5,7,32,15,1,126,58,615,2,64,85,0,4,2,0,70,141,SP
3533060,miltoer01,Eric,Milton,L,29,2004,14,6,34,34,0,196,106,862,43,75,161,6,3,1,0,110,201,SP
5822664,thompjo01,Jocko,Thompson,L,34,1951,4,8,29,14,1,102,51,507,12,59,60,0,3,2,0,55,119.3333359,SP
10105648,leiteal01,Al,Leiter,L,39,2004,10,8,30,30,0,138,62,750,16,97,117,8,1,11,1,65,173.6666718,SP
2550242,moorecy01,Cy,Moore,R,28,1933,8,9,36,18,1,177,67,690,7,42,53,0,4,3,1,74,161.3333282,SP
7588632,millefr02,Frank,Miller,R,36,1922,11,13,31,23,1,213,78,851,7,60,65,0,3,2,0,100,200,SP
1641204,anderbo01,Bob,Anderson,R,24,1959,12,13,37,36,0,245,108,1004,21,77,113,3,4,5,3,117,235.3333282,SP
